,pos,count,entity
0,N,4161,Diabetes
1,N,13,integral
2,N,227,routine
3,N,526,person
4,N,10879,diabetes
5,N,337,goal
6,A,416,least
7,N,686,minutes
8,N,3899,day
9,N,35,harm
10,A,585,less
11,A,5389,more
12,A,48,uncomfortable
13,N,731,part
14,A,784,daily
15,N,111,teeth
16,N,61,shower
17,A,1772,only
18,N,1526,way
19,A,9,integrated
20,N,305,lifestyle
21,N,510,suggestions
22,A,299,early
23,N,536,lunch
24,N,1800,work
25,N,64,breaks
26,N,781,dinner
27,N,108,bedtime
28,N,2609,diabetic
29,N,1653,diet
30,N,596,plan
31,N,121,plenty
32,A,6,high-fiber
33,N,1073,foods
34,N,107,nutrients
35,A,2093,low
36,N,5319,sugar
37,N,41,Vegetables
38,N,76,kinds
39,N,312,fruits
40,A,2566,high
41,N,27,antioxidants
42,N,344,fiber
43,N,133,vitamins
44,A,101,essential
45,N,11,electrolytes
46,N,61,minerals
47,N,70,potassium
48,A,25,Nuts
49,N,112,seeds
50,N,41,avocado
51,A,9,Historically#
52,N,30,Discovery
53,N,455,link
54,N,20,Pancreas
55,^,1,Polyuria
56,^,2,Johann
57,^,5,Conrad
58,^,1,Brunner
59,A,58,17th
60,N,13,century
61,N,8,Swiss
62,N,2,anatomist
63,A,227,several
64,N,5,pioneering
65,N,7,experiments
66,A,31,internal
67,N,56,organs
68,N,8,spleen
69,N,292,pancreas
70,A,1237,living
71,N,100,dog
72,A,1170,normal
73,N,28,digestion
74,N,42,animal
75,A,76,alive
76,N,3651,time
77,A,88,extreme
78,N,48,thirst
79,N,5,polyuria
80,N,2,excretion
81,A,180,large
82,N,1,volumes
83,N,185,urine
84,A,79,unable
85,N,170,role
86,N,1724,weight
87,N,274,following
88,A,21,personalized
89,N,1033,meal
90,A,1,preprinted
91,N,78,magazine
92,N,278,book
93,A,554,online
94,N,95,diets
95,N,123,Exercise
96,A,465,physical
97,N,531,activity
98,A,1028,best
99,N,522,ways
100,A,655,lost
101,N,33,records
102,N,5464,blood
103,N,1982,glucose
104,N,1486,levels
105,N,1740,food
106,N,671,friends
107,N,41,relatives
108,N,133,efforts
109,A,3,quick-fix
110,N,92,approach
111,A,1122,long
112,N,108,term
113,N,1554,control
114,^,21,MyPlate
115,N,121,method
116,N,278,plate
117,A,6,nutrient-dense
118,A,703,such
119,N,470,vegetables
120,A,774,whole
121,N,223,grains
122,N,20,legumes
123,N,2110,health
124,N,26,claims
125,A,1991,healthy
126,A,598,small
127,N,68,portions
128,N,29,favourite
129,A,1941,other
130,A,211,everyday
131,N,676,problems
132,A,1954,much
133,N,23,excuses
134,A,209,perfect
135,A,5,upbeat
136,N,1993,life
137,A,30,happier
138,A,186,Many
139,N,758,times
140,N,683,treatment
141,N,369,People
142,A,34,tight
143,N,527,energy
144,N,424,calories
145,N,5,Improvement
146,N,59,measure
147,N,139,success
148,N,1356,numbers
149,N,11,weighing
150,N,91,scale
151,A,352,wrong
152,A,198,certain
153,N,24,stairs
154,N,3,elevators
155,A,1494,many
156,A,755,fat
157,A,980,free
158,A,198,Fat
159,N,147,calorie
160,N,39,Fruit
161,A,1513,better
162,N,291,snacks
163,N,80,variety
164,A,10,rigid
165,N,507,loss
166,N,656,meals
167,N,124,Diet
168,N,5,boredom
169,N,97,sizes
170,A,3140,good
171,N,832,thing
172,N,373,difference
173,N,518,management
174,A,252,difficult
175,N,129,plans
176,N,1141,tips
177,A,1428,right
178,N,343,track
179,N,392,goals
180,A,28,reasonable
181,N,1,15kgs
182,N,3,kms
183,N,102,basis
184,N,38,targets
185,^,12,Aim
186,N,14,kgs
187,N,25,improvements
188,N,10,Measure
189,N,418,serving
190,N,95,glass
191,N,924,water
192,N,303,Insulin
193,A,5,unaffordable
194,N,99,millions
195,^,13,Alex
196,^,15,Kelly
197,A,45,smaller
198,A,472,full
199,N,13,fork
200,N,17,spoon
201,N,4,mouthfuls
202,N,296,hand
203,A,48,roasted
204,N,97,items
205,A,235,fresh
206,N,278,size
207,N,10,setbacks
208,N,465,tomorrow
209,A,444,big
210,N,28,sky
211,N,380,amount
212,N,197,carbohydrate
213,N,374,system
214,A,47,consistent
215,N,99,target
216,N,504,range
217,N,4406,insulin
218,N,53,metabolism
219,N,717,level
220,N,1289,body
221,N,6,Dietician
222,A,204,Most
223,N,224,factors
224,N,4460,type
225,N,612,medication
226,A,3,hungrier
227,A,5,moody
228,N,72,Breakfast
229,N,1,skippers
230,N,1094,risk
231,A,58,sugary
232,A,7,high-fat
233,A,1168,few
234,N,1110,hours
235,N,122,doses
236,A,1132,little
237,N,42,purpose
238,A,125,dangerous
239,N,4,kilos
240,A,8,inadequate
241,N,266,dose
242,A,537,higher
243,A,98,poor
244,N,44,growth
245,N,128,development
246,N,521,children
247,N,14,adolescents
248,A,302,short
249,N,138,headache
250,A,43,blurred
251,N,257,vision
252,A,139,upset
253,N,534,stomach
254,A,385,tired
255,A,276,hungry
256,A,58,thirsty
257,^,1,Underdosing
258,A,83,greater
259,^,54,ketoacidosis
260,N,155,conversation
261,N,2493,today
262,N,202,brain
263,N,73,organ
264,A,633,sick
265,N,35,controls
266,N,63,emotions
267,N,46,behavior
268,N,35,Depression
269,N,252,anxiety
270,A,14,biological
271,N,295,causes
272,N,701,symptoms
273,N,1130,something
274,N,1,underproduction
275,^,4,neurotransmitters
276,N,577,issues
277,N,6,receptors
278,N,65,disorders
279,N,93,ability
280,N,591,world
281,N,176,process
282,N,4,stressors
283,A,259,severe
284,N,602,enough
285,A,17,prolonged
286,N,14,chemistry
287,N,3873,help
288,A,65,stressful
289,N,26,sentence
290,A,144,depressed
291,A,60,anxious
292,A,64,global
293,N,64,pandemic
294,N,39,thousands
295,N,3627,people
296,N,23,meditation
297,A,34,virtual
298,N,247,coffee
299,N,27,dates
300,A,309,extra
301,A,170,personal
302,N,28,failing
303,N,5,character
304,N,3,flaw
305,N,157,sign
306,N,505,stress
307,N,1491,care
308,A,892,hard
309,A,18,ashamed
310,A,38,Long
