,pos,count,entity
0,N,820,Diabetes
1,N,3,integral
2,N,45,routine
3,N,65,person
4,N,1313,diabetes
5,N,86,goal
6,A,57,least
7,N,94,minutes
8,N,364,day
9,N,10,harm
10,A,108,less
11,A,609,more
12,A,7,uncomfortable
13,N,106,part
14,A,143,daily
15,N,12,teeth
16,N,4,shower
17,A,162,only
18,N,185,way
19,A,1,integrated
20,N,59,lifestyle
21,N,17,suggestions
22,A,35,early
23,N,24,lunch
24,N,202,work
25,N,7,breaks
26,N,35,dinner
27,N,5,bedtime
28,N,218,diabetic
29,N,234,diet
30,N,100,plan
31,N,25,plenty
32,A,2,high-fiber
33,N,218,foods
34,N,24,nutrients
35,A,131,low
36,N,392,sugar
37,N,5,Vegetables
38,N,7,kinds
39,N,80,fruits
40,A,211,high
41,N,8,antioxidants
42,N,81,fiber
43,N,18,vitamins
44,A,17,essential
45,N,1,electrolytes
46,N,12,minerals
47,N,15,potassium
48,A,5,Nuts
49,N,30,seeds
50,N,4,avocado
51,A,6,Historically#
52,N,12,Discovery
53,N,61,link
54,N,6,Pancreas
55,^,1,Polyuria
56,^,1,Johann
57,^,1,Conrad
58,^,1,Brunner
59,A,11,17th
60,N,4,century
61,N,1,Swiss
62,N,1,anatomist
63,A,33,several
64,N,1,pioneering
65,N,3,experiments
66,A,7,internal
67,N,20,organs
68,N,1,spleen
69,N,41,pancreas
70,A,80,living
71,N,9,dog
72,A,80,normal
73,N,9,digestion
74,N,18,animal
75,A,11,alive
76,N,449,time
77,A,11,extreme
78,N,6,thirst
79,N,3,polyuria
80,N,2,excretion
81,A,20,large
82,N,1,volumes
83,N,12,urine
84,A,9,unable
85,N,29,role
86,N,229,weight
87,N,67,following
88,A,4,personalized
89,N,121,meal
90,A,1,preprinted
91,N,12,magazine
92,N,145,book
93,A,55,online
94,N,31,diets
95,N,22,Exercise
96,A,108,physical
97,N,134,activity
98,A,145,best
99,N,82,ways
100,A,44,lost
101,N,10,records
102,N,674,blood
103,N,360,glucose
104,N,212,levels
105,N,273,food
106,N,71,friends
107,N,24,relatives
108,N,18,efforts
109,A,2,quick-fix
110,N,19,approach
111,A,85,long
112,N,21,term
113,N,292,control
114,^,9,MyPlate
115,N,30,method
116,N,74,plate
117,A,4,nutrient-dense
118,A,161,such
119,N,130,vegetables
120,A,208,whole
121,N,106,grains
122,N,8,legumes
123,N,350,health
124,N,6,claims
125,A,314,healthy
126,A,109,small
127,N,19,portions
128,N,7,favourite
129,A,273,other
130,A,18,everyday
131,N,131,problems
132,A,159,much
133,N,9,excuses
134,A,23,perfect
135,A,3,upbeat
136,N,416,life
137,A,6,happier
138,A,41,Many
139,N,62,times
140,N,175,treatment
141,N,90,People
142,A,9,tight
143,N,227,energy
144,N,111,calories
145,N,3,Improvement
146,N,12,measure
147,N,26,success
148,N,55,numbers
149,N,4,weighing
150,N,5,scale
151,A,27,wrong
152,A,35,certain
153,N,5,stairs
154,N,2,elevators
155,A,224,many
156,A,197,fat
157,A,106,free
158,A,14,Fat
159,N,51,calorie
160,N,13,Fruit
161,A,119,better
162,N,34,snacks
163,N,22,variety
164,A,8,rigid
165,N,72,loss
166,N,98,meals
167,N,12,Diet
168,N,2,boredom
169,N,33,sizes
170,A,314,good
171,N,72,thing
172,N,21,difference
173,N,59,management
174,A,36,difficult
175,N,8,plans
176,N,57,tips
177,A,116,right
178,N,48,track
179,N,165,goals
180,A,4,reasonable
181,N,1,15kgs
182,N,1,kms
183,N,30,basis
184,N,6,targets
185,^,5,Aim
186,N,3,kgs
187,N,7,improvements
188,N,3,Measure
189,N,117,serving
190,N,13,glass
191,N,89,water
192,N,29,Insulin
193,A,1,unaffordable
194,N,19,millions
195,^,4,Alex
196,^,3,Kelly
197,A,11,smaller
198,A,57,full
199,N,4,fork
200,N,3,spoon
201,N,1,mouthfuls
202,N,31,hand
203,A,9,roasted
204,N,14,items
205,A,44,fresh
206,N,78,size
207,N,1,setbacks
208,N,20,tomorrow
209,A,50,big
210,N,2,sky
211,N,67,amount
212,N,59,carbohydrate
213,N,51,system
214,A,4,consistent
215,N,12,target
216,N,46,range
217,N,259,insulin
218,N,10,metabolism
219,N,161,level
220,N,216,body
221,N,1,Dietician
222,A,61,Most
223,N,42,factors
224,N,264,type
225,N,60,medication
226,A,2,hungrier
227,A,2,moody
228,N,6,Breakfast
229,N,1,skippers
230,N,184,risk
231,A,11,sugary
232,A,2,high-fat
233,A,178,few
234,N,55,hours
235,N,20,doses
236,A,114,little
237,N,12,purpose
238,A,20,dangerous
239,N,1,kilos
240,A,2,inadequate
241,N,11,dose
242,A,52,higher
243,A,23,poor
244,N,9,growth
245,N,19,development
246,N,50,children
247,N,2,adolescents
248,A,48,short
249,N,7,headache
250,A,4,blurred
251,N,23,vision
252,A,9,upset
253,N,43,stomach
254,A,9,tired
255,A,25,hungry
256,A,4,thirsty
257,^,1,Underdosing
258,A,6,greater
259,^,4,ketoacidosis
260,N,2,conversation
261,N,101,today
262,N,72,brain
263,N,33,organ
264,A,28,sick
265,N,6,controls
266,N,20,emotions
267,N,9,behavior
268,N,13,Depression
269,N,40,anxiety
270,A,3,biological
271,N,37,causes
272,N,64,symptoms
273,N,84,something
274,N,1,underproduction
275,^,1,neurotransmitters
276,N,62,issues
277,N,2,receptors
278,N,10,disorders
279,N,20,ability
280,N,135,world
281,N,46,process
282,N,2,stressors
283,A,46,severe
284,N,84,enough
285,A,5,prolonged
286,N,2,chemistry
287,N,460,help
288,A,10,stressful
289,N,6,sentence
290,A,11,depressed
291,A,3,anxious
292,A,15,global
293,N,5,pandemic
294,N,7,thousands
295,N,525,people
296,N,15,meditation
297,A,1,virtual
298,N,20,coffee
299,N,6,dates
300,A,48,extra
301,A,22,personal
302,N,2,failing
303,N,1,character
304,N,1,flaw
305,N,13,sign
306,N,94,stress
307,N,226,care
308,A,62,hard
309,A,3,ashamed
310,A,3,Long
311,N,83,complications
312,N,37,nerve
313,N,34,damage
314,N,56,kidney
315,N,63,eye
316,N,453,disease
317,A,34,likely
318,A,1,underdose
319,N,26,shot
320,A,2,sensible
321,A,20,Low
322,N,32,Calorie
323,^,6,VLCDs
324,N,21,hypoglycemia
325,N,82,protein
326,N,21,content
327,A,12,obese
328,A,4,immediate
329,A,55,serious
330,N,13,Weight
331,N,1,VLCD
332,A,4,rapid
333,N,133,days
334,A,1,restrictive
335,A,1,intuitive
336,N,1,circles
337,A,20,ready
338,A,1,gentle
339,N,33,nutrition
340,A,3,joyful
341,N,16,movement
342,N,164,things
343,N,6,Self
344,N,2,culture
345,A,76,own
346,N,205,exercise
347,N,12,intention
348,A,8,guilty
349,A,85,different
350,N,29,options
351,^,93,Type
352,N,1,beverage
353,A,1,monotonous
354,A,33,lean
355,N,70,meat
356,N,20,muscle
357,N,13,tissue
358,N,65,side
359,N,48,effects
360,N,2,supervision
361,N,20,physician
362,N,25,obesity
363,A,13,magic
364,N,39,medicine
365,N,153,medicines
366,N,36,place
367,N,10,doctor’s
368,N,67,advice
369,N,41,medications
370,N,72,everyone
371,N,18,appetite
372,N,17,sense
373,N,5,fullness
374,N,12,absorption
375,N,7,Medicines
376,N,13,chemicals
377,A,54,easier
378,N,2,stools
379,A,2,oily
380,N,3,intestinal
381,N,4,gas
382,N,106,lot
383,N,4,chromium
384,N,17,supplements
385,N,29,lots
386,N,4,ads
387,N,11,cravings
388,N,8,tolerance
389,N,25,factor
390,A,26,estimated
391,A,33,safe
392,A,2,adequate
393,A,36,dietary
394,N,43,intake
395,N,9,mcg
396,N,32,adults
397,^,3,Chromium
398,Z,1,brewer’s
399,N,6,yeast
400,N,25,wheat
401,N,5,germ
402,N,16,corn
403,N,58,oil
404,N,82,grain
405,N,12,cereals
406,N,37,cheese
407,N,3,bran
408,N,54,liver
409,N,2,oysters
410,N,23,potatoes
411,N,44,skin
412,N,6,peanuts
413,A,9,peanut
414,N,27,butter
415,N,7,consultation
416,N,146,doctor
417,N,45,money
418,N,2,initiative
419,^,1,Pradeep
420,^,3,N
421,^,1,Roshani
422,^,2,Gadge
423,^,1,Maria
424,A,6,comprehensive
425,N,4,summary
426,N,2,rating
427,S,1,dietician's
428,N,1,views
429,N,18,fitness
430,N,15,holidays
431,N,22,quality
432,A,5,crucial
433,A,25,overall
434,N,9,wellness
435,Z,1,Frank's
436,A,1,understandable
437,A,15,afraid
438,N,61,post
439,N,20,address
440,N,56,common
441,N,14,fears
442,N,11,concerns
443,A,2,empowered
444,N,54,depression
445,N,4,distress
446,N,9,connection
447,N,9,ALERT
448,^,4,Medtronic
449,^,2,MiniMed
450,N,6,pumps
451,A,3,incorrect
452,N,9,recall
453,A,1,manageable
454,A,3,enjoyable
455,^,1,Justin
456,^,1,Bieber
457,^,1,Kyrie
458,^,1,Irving
459,^,3,Kevin
460,^,1,Hart
461,^,1,#diabetesdancedare
462,^,44,American
463,N,28,Association
464,^,1,👉🏾
465,A,1,Barbecued
466,A,13,Chinese
467,N,10,Chicken
468,N,2,Lettuce
469,N,4,Wraps
470,^,1,Rachael
471,^,3,Ray
472,N,65,recipe
473,A,5,incredible
474,N,8,stories
475,N,28,education
476,N,1,empowerment
477,N,4,transformation
478,N,35,season
479,N,1,premiere
480,^,12,Tuesday
481,^,15,July
482,N,15,interest
483,N,51,carb
484,N,91,recipes
485,N,31,result
486,A,6,BEST
487,A,2,LOW
488,N,1,CARB
489,^,1,GLUTEN/GRAIN-FREE
490,^,1,BROWNIE
491,N,1,HISTORY
492,N,2,Info
493,N,1,Kit
494,N,10,desserts
495,A,184,great
496,A,5,OK
497,N,22,room
498,A,2,meatless
499,N,2,week--it's
500,A,18,balanced
501,N,54,night
502,N,15,cook
503,A,17,later
504,A,36,quick
505,N,121,week
506,A,3,dietitian-approved
507,N,48,snack
508,N,2,mixes
509,A,123,first
510,N,18,steps
511,N,65,diagnosis
512,N,15,quiz
513,N,1,personality
514,N,5,tonight
515,N,101,carbs
516,N,7,casseroles
517,N,10,soups
518,A,65,past
519,N,5,denial
