username,type,country,timestamp,english_score,universal_score,English,date of analysis,relevant_score
goingglobal2,User,usa,1581036912,0.3,0.5,1,5/2/20,0.3
LesMotsRouges,User,france,1581027578,0.5,0.3,0,5/2/20,0.3
Aspirides78,User,netherlands,1581027587,0.8,2.4,0,5/2/20,2.4
adrianxleconte,User,eu,1581027598,0.7,0.6,0,5/2/20,0.6
Manresssa,User,eu,1581027599,0.2,0.2,1,5/2/20,0.2
Monicoser,User,france,1581027599,0.5,0.4,0,5/2/20,0.4
hja2011,User,netherlands,1581027602,0.4,0.3,0,5/2/20,0.3
Lance63,User,uk,1581027610,0.4,0.6,1,5/2/20,0.4
Melusinebreizh,User,france,1581027610,0.4,0.2,0,5/2/20,0.2
Iamwhitneyblack,User,eu,1581027619,0.2,0.5,1,5/2/20,0.2
55krissi55,Suspect,usa,1578845533,0.6,0.6,1,5/2/20,0.6
idawhannadoyou,Suspect,eu,1575558592,1.4,0.8,1,5/2/20,1.4
marty713,Suspect,eu,1575558593,1.9,2.9,1,5/2/20,1.9
MSymbolik,Suspect,usa,1579120257,0.4,0.7,1,5/2/20,0.4
BubbaJoeBaker,Suspect,eu,1579120267,2.5,3.2,1,5/2/20,2.5
CanalOblik,Suspect,france,1575558614,1,0.3,0,5/2/20,0.3
JustSayingTrump,Suspect,eu,1575558614,2.2,3.1,1,5/2/20,2.2
malmobon,Suspect,sweden,1579120269,0.3,0.5,0,5/2/20,0.5
Craybo23,Suspect,eu,1575558629,3.8,2.8,1,5/2/20,3.8
Tweelingetje2V,Suspect,netherlands,1579120279,0.7,0.9,0,5/2/20,0.9
RahelJaanson,Bot,estonia,1547036812,4.2,1.8,0,5/1/20,1.8
hojjs2014,Bot,uk,1585697572,3.2,1.9,0,5/1/20,1.9
taitsasurnud,Bot,estonia,1586293498,3.3,1.5,0,5/1/20,1.5
rasisti_kissa,Bot,estonia,1575896492,2.5,3.5,1,5/1/20,2.5
TislerGregor,Bot,estonia,1582382884,1.9,1.8,1,5/1/20,1.9
priisalu,Bot,estonia,1583607047,3.9,1.9,0,5/1/20,1.9
HouseofTwitsLab,Bot,uk,1584301000,2.6,4.1,1,5/1/20,2.6
osougwu,Bot,uk,1579464633,0.7,0.4,1,5/1/20,0.7
kadialbrechtt,Bot,estonia,1583956437,1.4,1.3,1,5/1/20,1.4
njoanyork,Bot,uk,1580917265,0.6,0.2,1,5/1/20,0.6
