username,type,country,timestamp,english_score,universal_score,English,date of analysis,relevant_score
laceliax,Bot,estonia,1582232767,0.3,0.3,0,5/1/20,0.3
vapahtaja1,Bot,estonia,1569145546,0.4,0.4,0,5/1/20,0.4
moonlightata,Bot,estonia,1569063735,0.4,0.6,1,5/1/20,0.4
paulinelotta,Bot,estonia,1582922233,1.8,1.1,1,5/1/20,1.8
BremmerEvie,Bot,uk,1568419019,3,3,1,5/1/20,3
CassardChristi2,Bot,france,1553354579,4,4.5,0,5/1/20,4.5
sade_sonja,Bot,estonia,1561472567,4.1,3.3,0,5/1/20,3.3
citoyensmepris1,Bot,france,1585229922,1.4,0.9,0,5/1/20,0.9
Renelii4,Bot,estonia,1566190503,4.4,4,0,5/1/20,4
Tina91763128,Bot,Sweden,1569511592,3.1,3.9,1,5/1/20,3.1
Polarbe53681433,Bot,estonia,1569164190,1.2,1.2,2,5/1/20,1.2
JavierM57659919,Bot,france,1568378345,3.9,3.9,0,5/1/20,3.9
sfyoon94_,Bot,estonia,1569194099,0.3,0.2,1,5/1/20,0.3
vicster407,Bot,uk,1576757962,3.6,3.6,1,5/1/20,3.6
drifter_N,Bot,netherlands,1584377738,2.2,2.9,0,5/1/20,2.9
Intelwar,Bot,uk,1583103420,3.4,2.2,1,5/1/20,3.4
heennri,Bot,estonia,1575647484,0.3,0.3,0,5/1/20,0.3
loscimientosgt,Bot,uk,1582513319,0.5,0.6,1,5/1/20,0.5
Orgetorix,Bot,hungary,1584195209,2,1.1,1,5/1/20,2
_macmike,Bot,uk,1565773990,4,3.5,1,5/1/20,4
RahelJaanson,Bot,estonia,1547036812,4.2,1.8,0,5/1/20,1.8
hojjs2014,Bot,uk,1585697572,3.2,1.9,0,5/1/20,1.9
taitsasurnud,Bot,estonia,1586293498,3.3,1.5,0,5/1/20,1.5
rasisti_kissa,Bot,estonia,1575896492,2.5,3.5,1,5/1/20,2.5
TislerGregor,Bot,estonia,1582382884,1.9,1.8,1,5/1/20,1.9
priisalu,Bot,estonia,1583607047,3.9,1.9,0,5/1/20,1.9
HouseofTwitsLab,Bot,uk,1584301000,2.6,4.1,1,5/1/20,2.6
osougwu,Bot,uk,1579464633,0.7,0.4,1,5/1/20,0.7
kadialbrechtt,Bot,estonia,1583956437,1.4,1.3,1,5/1/20,1.4
njoanyork,Bot,uk,1580917265,0.6,0.2,1,5/1/20,0.6
yestodaykth,Bot,estonia,1584170594,0.2,0.3,1,5/1/20,0.2
SL_OKC,Bot,uk,1584036391,1.8,1.6,1,5/1/20,1.8
anilshukla_1986,Bot,uk,1568563445,0.5,0.3,1,5/1/20,0.5
kkkrisssuu,Bot,estonia,1575493579,2.1,0.7,0,5/1/20,0.7
irisskk,Bot,estonia,1585160367,0.3,0.6,1,5/1/20,0.3
CHHR01,Bot,france,1583545524,0.3,1.5,1,5/1/20,0.3
l1z3773_,Bot,estonia,1575210688,0.2,0.2,1,5/1/20,0.2
katindiana,Bot,estonia,1567897183,0.4,0.4,1,5/1/20,0.4
RedHawkWinter,Bot,uk,1582973613,1.9,1.9,1,5/1/20,1.9
ThAlMeArCrEq,Bot,netherlands,1584403792,0.4,0.6,1,5/1/20,0.4
eeggeerrtt,Bot,estonia,1558555725,1.2,2.1,1,5/1/20,1.2
policedoog1971,Bot,netherlands,1583825427,0.2,0.5,0,5/1/20,0.5
PDP00000001,Bot,uk,1583168204,0.8,1.5,1,5/1/20,0.8
