username,country,type,timestamp,english_score,universal_score,English ,date of analysis,relevant_score 
georgegalloway,usa,Suspect,1579909930,,,,,
jondknight,eu,Suspect,1575413207,,,,,
PrincessBibiRF_,eu,Suspect,1576426133,,,,,
55krissi55,usa,Suspect,1578845533,,,,,
idawhannadoyou,eu,Suspect,1575558592,,,,,
marty713,eu,Suspect,1575558593,,,,,
MSymbolik,usa,Suspect,1579120257,,,,,
BubbaJoeBaker,eu,Suspect,1579120267,,,,,
CanalOblik,france,Suspect,1575558614,,,,,
JustSayingTrump,eu,Suspect,1575558614,,,,,
malmobon,sweden,Suspect,1579120269,,,,,
billm9,usa,Suspect,1575558625,,,,,
Craybo23,eu,Suspect,1575558629,,,,,
max007ab,usa,Suspect,1579120275,,,,,
Tweelingetje2V,netherlands,Suspect,1579120279,,,,,
GordBolton,usa,User,1578631855,,,,,
RennaW,eu,User,1581036824,,,,,
Tel0072000,eu,User,1581036832,,,,,
shakesheave,uk,User,1580532201,,,,,
AsianDef,eu,User,1580532207,,,,,
obligatoryasian,usa,User,1580532207,,,,,
brinjak,eu,User,1581036848,,,,,
TradCatKnight,eu,User,1581036851,1.8,1.4,1,05/02/20,1.8
CaroleGilman,usa,User,1581036858,0.2,0.7,1,05/02/20,0.2
AsianDef,eu,User,1580532223,1.7,1.2,1,05/02/20,1.7
Sorenus,france,User,1580532224,0.5,0.5,0,05/02/20,0.5
KyleMason365,usa,User,1580532232,1.1,0.7,1,05/02/20,1.1
bluecollardude,usa,User,1581036884,0.8,1.1,1,05/02/20,0.8
PBruynen,netherlands,User,1580532245,0.2,0.4,0,05/02/20,0.4
rvaidya2000,eu,User,1581036895,0.2,0.2,1,05/02/20,0.2
Ericb1980,eu,User,1581036895,0.2,0.3,1,05/02/20,0.2
realcalpol,eu,User,1581036899,0.5,0.8,1,05/02/20,0.5
fuseboxradio,eu,User,1581036900,2.7,3,1,05/02/20,2.7
Toba_60,eu,User,1581036900,3,2,0,05/02/20,2
JSoap1945,eu,User,1581036911,3.7,3.4,1,05/02/20,3.7
goingglobal2,usa,User,1581036912,0.3,0.5,1,05/02/20,0.3
LesMotsRouges,france,User,1581027578,0.5,0.3,0,05/02/20,0.3
Aspirides78,netherlands,User,1581027587,0.8,2.4,0,05/02/20,2.4
adrianxleconte,eu,User,1581027598,0.7,0.6,0,05/02/20,0.6
Manresssa,eu,User,1581027599,0.2,0.2,1,05/02/20,0.2
Monicoser,france,User,1581027599,0.5,0.4,0,05/02/20,0.4
hja2011,netherlands,User,1581027602,0.4,0.3,0,05/02/20,0.3
Lance63,uk,User,1581027610,0.4,0.6,1,05/02/20,0.4
Melusinebreizh,france,User,1581027610,0.4,0.2,0,05/02/20,0.2
Iamwhitneyblack,eu,User,1581027619,0.2,0.5,1,05/02/20,0.2
